Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,8;46
g10-19;Hombre;0,9;53
g20-29;Hombre;4,7;287
g30-39;Hombre;9,8;599
g40-49;Hombre;14,8;903
g50-59;Hombre;17,6;1074
g60-69;Hombre;18,2;1109
g70-79;Hombre;17,1;1045
g80-89;Hombre;12,7;773
g90 o más;Hombre;3,5;215
g0-9;Mujer;0,5;35
g10-19;Mujer;0,9;68
g20-29;Mujer;7,1;537
g30-39;Mujer;11,5;872
g40-49;Mujer;15,6;1179
g50-59;Mujer;18;1365
g60-69;Mujer;13,4;1016
g70-79;Mujer;11,3;858
g80-89;Mujer;14,3;1079
g90 o más;Mujer;7,4;558
