Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;209;230,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;811;286,6;283021
DEPARTAMENT DE SALUT DE LA PLANA;831;443,8;187258
DEPARTAMENT DE SALUT DE SAGUNT;513;335,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1005;290,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;795;248,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;936;324,4;288530
DEPARTAMENT DE SALUT DE REQUENA;439;852,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1109;304,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;783;280,1;279561
DEPARTAMENT DE SALUT DE LA RIBERA;486;187,1;259746
DEPARTAMENT DE SALUT DE GANDIA;244;137,3;177754
DEPARTAMENT DE SALUT DE DENIA;221;128,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;319;164;194513
DEPARTAMENT DE SALUT D'ALCOI;489;356,8;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;704;379,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;640;287,3;222767
DEPARTAMENT DE SALUT D'ELDA;600;316,5;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;790;284,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;421;248,7;169314
DEPARTAMENT DE SALUT D'ORIHUELA;181;107,6;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;424;227,9;186025
DEPARTAMENT DE SALUT DE MANISES;519;250,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;201;128,4;156506
