Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;194;213,6;90816
DEPARTAMENT DE SALUT DE CASTELLO;747;263,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;770;411,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;483;315,7;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;915;264,6;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;753;235,5;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;905;313,7;288530
DEPARTAMENT DE SALUT DE REQUENA;428;831,2;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1069;293,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;744;266,1;279561
DEPARTAMENT DE SALUT DE LA RIBERA;452;174;259746
DEPARTAMENT DE SALUT DE GANDIA;242;136,1;177754
DEPARTAMENT DE SALUT DE DENIA;209;121,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;305;156,8;194513
DEPARTAMENT DE SALUT D'ALCOI;471;343,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;694;374,5;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;573;257,2;222767
DEPARTAMENT DE SALUT D'ELDA;547;288,5;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;707;254,2;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;390;230,3;169314
DEPARTAMENT DE SALUT D'ORIHUELA;163;96,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;384;206,4;186025
DEPARTAMENT DE SALUT DE MANISES;503;242,7;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;186;118,8;156506
