Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,9;60
g10-19;Hombre;1,1;76
g20-29;Hombre;5,2;352
g30-39;Hombre;10,5;715
g40-49;Hombre;15,5;1054
g50-59;Hombre;17,5;1192
g60-69;Hombre;17,9;1218
g70-79;Hombre;16,4;1121
g80-89;Hombre;11,9;811
g90 o más;Hombre;3,2;221
g0-9;Mujer;0,6;51
g10-19;Mujer;1;89
g20-29;Mujer;7,5;646
g30-39;Mujer;12,1;1043
g40-49;Mujer;15,9;1375
g50-59;Mujer;18,3;1578
g60-69;Mujer;13,3;1146
g70-79;Mujer;11;951
g80-89;Mujer;13,4;1156
g90 o más;Mujer;6,9;591
