Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;211;232,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;817;288,7;283021
DEPARTAMENT DE SALUT DE LA PLANA;835;445,9;187258
DEPARTAMENT DE SALUT DE SAGUNT;519;339,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1030;297,9;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;802;250,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;945;327,5;288530
DEPARTAMENT DE SALUT DE REQUENA;440;854,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1129;310,2;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;798;285,4;279561
DEPARTAMENT DE SALUT DE LA RIBERA;498;191,7;259746
DEPARTAMENT DE SALUT DE GANDIA;249;140,1;177754
DEPARTAMENT DE SALUT DE DENIA;231;134,5;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;325;167,1;194513
DEPARTAMENT DE SALUT D'ALCOI;495;361,2;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;709;382,6;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;677;303,9;222767
DEPARTAMENT DE SALUT D'ELDA;612;322,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;829;298,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;427;252,2;169314
DEPARTAMENT DE SALUT D'ORIHUELA;183;108,8;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;437;234,9;186025
DEPARTAMENT DE SALUT DE MANISES;525;253,4;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;208;132,9;156506
