Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,7;46
g10-19;Hombre;0,9;54
g20-29;Hombre;4,7;291
g30-39;Hombre;10;616
g40-49;Hombre;14,8;918
g50-59;Hombre;17,6;1088
g60-69;Hombre;18,2;1124
g70-79;Hombre;17;1054
g80-89;Hombre;12,6;779
g90 o más;Hombre;3,5;215
g0-9;Mujer;0,5;40
g10-19;Mujer;0,9;68
g20-29;Mujer;7,2;556
g30-39;Mujer;11,6;901
g40-49;Mujer;15,7;1213
g50-59;Mujer;18,2;1407
g60-69;Mujer;13,5;1043
g70-79;Mujer;11,2;869
g80-89;Mujer;14;1088
g90 o más;Mujer;7,3;562
