Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;213;234,5;90816
DEPARTAMENT DE SALUT DE CASTELLO;823;290,8;283021
DEPARTAMENT DE SALUT DE LA PLANA;844;450,7;187258
DEPARTAMENT DE SALUT DE SAGUNT;532;347,7;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1049;303,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;809;253;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;953;330,3;288530
DEPARTAMENT DE SALUT DE REQUENA;444;862,3;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1135;311,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;811;290,1;279561
DEPARTAMENT DE SALUT DE LA RIBERA;500;192,5;259746
DEPARTAMENT DE SALUT DE GANDIA;255;143,5;177754
DEPARTAMENT DE SALUT DE DENIA;233;135,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;334;171,7;194513
DEPARTAMENT DE SALUT D'ALCOI;501;365,6;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;729;393,4;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;700;314,2;222767
DEPARTAMENT DE SALUT D'ELDA;620;327;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;852;306,4;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;436;257,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;185;110;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;448;240,8;186025
DEPARTAMENT DE SALUT DE MANISES;533;257,2;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;209;133,5;156506
