Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;127;139,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;385;136;283021
DEPARTAMENT DE SALUT DE LA PLANA;534;285,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;282;184,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;597;172,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;572;178,9;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;686;237,8;288530
DEPARTAMENT DE SALUT DE REQUENA;354;687,5;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;763;209,6;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;575;205,7;279561
DEPARTAMENT DE SALUT DE LA RIBERA;369;142,1;259746
DEPARTAMENT DE SALUT DE GANDIA;186;104,6;177754
DEPARTAMENT DE SALUT DE DENIA;187;108,9;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;213;109,5;194513
DEPARTAMENT DE SALUT D'ALCOI;364;265,6;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;615;331,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;422;189,4;222767
DEPARTAMENT DE SALUT D'ELDA;403;212,6;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;528;189,9;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;243;143,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;108;64,2;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;337;181,2;186025
DEPARTAMENT DE SALUT DE MANISES;328;158,3;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;127;81,1;156506
