Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;222;244,5;90816
DEPARTAMENT DE SALUT DE CASTELLO;896;316,6;283021
DEPARTAMENT DE SALUT DE LA PLANA;896;478,5;187258
DEPARTAMENT DE SALUT DE SAGUNT;553;361,4;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1140;329,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;851;266,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;1004;348;288530
DEPARTAMENT DE SALUT DE REQUENA;462;897,3;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1182;324,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;859;307,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;566;217,9;259746
DEPARTAMENT DE SALUT DE GANDIA;260;146,3;177754
DEPARTAMENT DE SALUT DE DENIA;240;139,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;346;177,9;194513
DEPARTAMENT DE SALUT D'ALCOI;516;376,5;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;787;424,7;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;730;327,7;222767
DEPARTAMENT DE SALUT D'ELDA;670;353,4;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;900;323,6;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;467;275,8;169314
DEPARTAMENT DE SALUT D'ORIHUELA;200;118,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;478;257;186025
DEPARTAMENT DE SALUT DE MANISES;551;265,9;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;228;145,7;156506
