Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,8;55
g10-19;Hombre;1;68
g20-29;Hombre;5,1;337
g30-39;Hombre;10,4;690
g40-49;Hombre;15,5;1031
g50-59;Hombre;17,5;1164
g60-69;Hombre;17,9;1190
g70-79;Hombre;16,5;1095
g80-89;Hombre;12;801
g90 o más;Hombre;3,3;220
g0-9;Mujer;0,6;49
g10-19;Mujer;1;81
g20-29;Mujer;7,3;614
g30-39;Mujer;12,1;1008
g40-49;Mujer;15,9;1325
g50-59;Mujer;18,3;1529
g60-69;Mujer;13,4;1116
g70-79;Mujer;11;919
g80-89;Mujer;13,6;1132
g90 o más;Mujer;7;581
