Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;194;213,6;90816
DEPARTAMENT DE SALUT DE CASTELLO;747;263,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;770;411,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;483;315,7;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;920;266,1;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;756;236,4;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;907;314,4;288530
DEPARTAMENT DE SALUT DE REQUENA;430;835,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1075;295,3;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;750;268,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;455;175,2;259746
DEPARTAMENT DE SALUT DE GANDIA;242;136,1;177754
DEPARTAMENT DE SALUT DE DENIA;209;121,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;306;157,3;194513
DEPARTAMENT DE SALUT D'ALCOI;469;342,2;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;694;374,5;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;581;260,8;222767
DEPARTAMENT DE SALUT D'ELDA;548;289;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;716;257,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;393;232,1;169314
DEPARTAMENT DE SALUT D'ORIHUELA;163;96,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;384;206,4;186025
DEPARTAMENT DE SALUT DE MANISES;504;243,2;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;187;119,5;156506
