Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;180;198,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;593;209,5;283021
DEPARTAMENT DE SALUT DE LA PLANA;663;354,1;187258
DEPARTAMENT DE SALUT DE SAGUNT;355;232;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;717;207,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;686;214,5;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;840;291,1;288530
DEPARTAMENT DE SALUT DE REQUENA;406;788,5;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;888;243,9;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;693;247,9;279561
DEPARTAMENT DE SALUT DE LA RIBERA;420;161,7;259746
DEPARTAMENT DE SALUT DE GANDIA;234;131,6;177754
DEPARTAMENT DE SALUT DE DENIA;196;114,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;249;128;194513
DEPARTAMENT DE SALUT D'ALCOI;408;297,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;665;358,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;472;211,9;222767
DEPARTAMENT DE SALUT D'ELDA;468;246,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;585;210,4;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;316;186,6;169314
DEPARTAMENT DE SALUT D'ORIHUELA;132;78,5;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;368;197,8;186025
DEPARTAMENT DE SALUT DE MANISES;443;213,8;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;146;93,3;156506
