Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;180;198,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;618;218,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;682;364,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;383;250,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;727;210,3;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;690;215,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;850;294,6;288530
DEPARTAMENT DE SALUT DE REQUENA;416;807,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;929;255,2;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;704;251,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;428;164,8;259746
DEPARTAMENT DE SALUT DE GANDIA;237;133,3;177754
DEPARTAMENT DE SALUT DE DENIA;201;117;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;281;144,5;194513
DEPARTAMENT DE SALUT D'ALCOI;418;305;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;671;362,1;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;482;216,4;222767
DEPARTAMENT DE SALUT D'ELDA;481;253,7;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;591;212,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;322;190,2;169314
DEPARTAMENT DE SALUT D'ORIHUELA;137;81,5;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;377;202,7;186025
DEPARTAMENT DE SALUT DE MANISES;454;219,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;153;97,8;156506
