Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;25;27,5;90816
DEPARTAMENT DE SALUT DE CASTELLO;59;20,8;283021
DEPARTAMENT DE SALUT DE LA PLANA;82;43,8;187258
DEPARTAMENT DE SALUT DE SAGUNT;30;19,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;72;20,8;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;41;12,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;80;27,7;288530
DEPARTAMENT DE SALUT DE REQUENA;63;122,4;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;114;31,3;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;64;22,9;279561
DEPARTAMENT DE SALUT DE LA RIBERA;28;10,8;259746
DEPARTAMENT DE SALUT DE GANDIA;24;13,5;177754
DEPARTAMENT DE SALUT DE DENIA;18;10,5;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;35;18;194513
DEPARTAMENT DE SALUT D'ALCOI;109;79,5;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;98;52,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;27;12,1;222767
DEPARTAMENT DE SALUT D'ELDA;49;25,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;55;19,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;11;6,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;15;8,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;44;23,7;186025
DEPARTAMENT DE SALUT DE MANISES;43;20,8;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506
