Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;29;31,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;68;24;283021
DEPARTAMENT DE SALUT DE LA PLANA;89;47,5;187258
DEPARTAMENT DE SALUT DE SAGUNT;37;24,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;77;22,3;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;50;15,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;87;30,2;288530
DEPARTAMENT DE SALUT DE REQUENA;71;137,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;117;32,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;69;24,7;279561
DEPARTAMENT DE SALUT DE LA RIBERA;29;11,2;259746
DEPARTAMENT DE SALUT DE GANDIA;27;15,2;177754
DEPARTAMENT DE SALUT DE DENIA;19;11,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;38;19,5;194513
DEPARTAMENT DE SALUT D'ALCOI;112;81,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;102;55;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;32;14,4;222767
DEPARTAMENT DE SALUT D'ELDA;51;26,9;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;57;20,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;12;7,1;169314
DEPARTAMENT DE SALUT D'ORIHUELA;17;10,1;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;49;26,3;186025
DEPARTAMENT DE SALUT DE MANISES;55;26,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506

