Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;200;220,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;754;266,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;798;426,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;490;320,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;940;271,9;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;760;237,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;914;316,8;288530
DEPARTAMENT DE SALUT DE REQUENA;430;835,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1083;297,5;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;756;270,4;279561
DEPARTAMENT DE SALUT DE LA RIBERA;461;177,5;259746
DEPARTAMENT DE SALUT DE GANDIA;242;136,1;177754
DEPARTAMENT DE SALUT DE DENIA;208;121,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;308;158,3;194513
DEPARTAMENT DE SALUT D'ALCOI;478;348,8;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;695;375;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;597;268;222767
DEPARTAMENT DE SALUT D'ELDA;556;293,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;730;262,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;407;240,4;169314
DEPARTAMENT DE SALUT D'ORIHUELA;173;102,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;386;207,5;186025
DEPARTAMENT DE SALUT DE MANISES;507;244,7;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;191;122;156506

