Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,7;46
g10-19;Hombre;0,9;53
g20-29;Hombre;4,7;290
g30-39;Hombre;9,9;609
g40-49;Hombre;14,8;913
g50-59;Hombre;17,6;1081
g60-69;Hombre;18,2;1123
g70-79;Hombre;17;1049
g80-89;Hombre;12,6;776
g90 o más;Hombre;3,5;215
g0-9;Mujer;0,5;37
g10-19;Mujer;0,9;68
g20-29;Mujer;7,2;551
g30-39;Mujer;11,5;887
g40-49;Mujer;15,6;1198
g50-59;Mujer;18,2;1395
g60-69;Mujer;13,4;1032
g70-79;Mujer;11,3;867
g80-89;Mujer;14,1;1084
g90 o más;Mujer;7,3;561
