Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;211;232,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;815;288;283021
DEPARTAMENT DE SALUT DE LA PLANA;833;444,8;187258
DEPARTAMENT DE SALUT DE SAGUNT;517;337,9;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1022;295,6;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;801;250,5;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;941;326,1;288530
DEPARTAMENT DE SALUT DE REQUENA;438;850,7;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1124;308,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;792;283,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;498;191,7;259746
DEPARTAMENT DE SALUT DE GANDIA;244;137,3;177754
DEPARTAMENT DE SALUT DE DENIA;223;129,8;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;325;167,1;194513
DEPARTAMENT DE SALUT D'ALCOI;493;359,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;709;382,6;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;657;294,9;222767
DEPARTAMENT DE SALUT D'ELDA;609;321,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;813;292,3;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;425;251;169314
DEPARTAMENT DE SALUT D'ORIHUELA;183;108,8;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;434;233,3;186025
DEPARTAMENT DE SALUT DE MANISES;522;251,9;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;205;131;156506
