Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;29;31,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;69;24,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;89;47,5;187258
DEPARTAMENT DE SALUT DE SAGUNT;37;24,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;77;22,3;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;51;15,9;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;89;30,8;288530
DEPARTAMENT DE SALUT DE REQUENA;71;137,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;118;32,4;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;69;24,7;279561
DEPARTAMENT DE SALUT DE LA RIBERA;29;11,2;259746
DEPARTAMENT DE SALUT DE GANDIA;27;15,2;177754
DEPARTAMENT DE SALUT DE DENIA;19;11,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;39;20,1;194513
DEPARTAMENT DE SALUT D'ALCOI;113;82,5;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;106;57,2;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;34;15,3;222767
DEPARTAMENT DE SALUT D'ELDA;52;27,4;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;58;20,9;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;12;7,1;169314
DEPARTAMENT DE SALUT D'ORIHUELA;18;10,7;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;50;26,9;186025
DEPARTAMENT DE SALUT DE MANISES;57;27,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506

