Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;207;227,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;791;279,5;283021
DEPARTAMENT DE SALUT DE LA PLANA;821;438,4;187258
DEPARTAMENT DE SALUT DE SAGUNT;505;330,1;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;994;287,5;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;782;244,5;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;928;321,6;288530
DEPARTAMENT DE SALUT DE REQUENA;436;846,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1103;303;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;775;277,2;279561
DEPARTAMENT DE SALUT DE LA RIBERA;479;184,4;259746
DEPARTAMENT DE SALUT DE GANDIA;244;137,3;177754
DEPARTAMENT DE SALUT DE DENIA;220;128,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;317;163;194513
DEPARTAMENT DE SALUT D'ALCOI;485;353,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;697;376,1;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;627;281,5;222767
DEPARTAMENT DE SALUT D'ELDA;587;309,6;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;768;276,2;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;421;248,7;169314
DEPARTAMENT DE SALUT D'ORIHUELA;180;107;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;419;225,2;186025
DEPARTAMENT DE SALUT DE MANISES;516;249;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;199;127,2;156506

