Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;28;30,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;66;23,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;87;46,5;187258
DEPARTAMENT DE SALUT DE SAGUNT;37;24,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;76;22;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;49;15,3;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;83;28,8;288530
DEPARTAMENT DE SALUT DE REQUENA;70;136;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;117;32,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;68;24,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;28;10,8;259746
DEPARTAMENT DE SALUT DE GANDIA;27;15,2;177754
DEPARTAMENT DE SALUT DE DENIA;19;11,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;37;19;194513
DEPARTAMENT DE SALUT D'ALCOI;111;81;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;102;55;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;30;13,5;222767
DEPARTAMENT DE SALUT D'ELDA;50;26,4;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;56;20,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;11;6,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;15;8,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;49;26,3;186025
DEPARTAMENT DE SALUT DE MANISES;50;24,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506
