Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;194;213,6;90816
DEPARTAMENT DE SALUT DE CASTELLO;746;263,6;283021
DEPARTAMENT DE SALUT DE LA PLANA;762;406,9;187258
DEPARTAMENT DE SALUT DE SAGUNT;444;290,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;906;262;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;751;234,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;903;313;288530
DEPARTAMENT DE SALUT DE REQUENA;425;825,4;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1010;277,5;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;743;265,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;451;173,6;259746
DEPARTAMENT DE SALUT DE GANDIA;241;135,6;177754
DEPARTAMENT DE SALUT DE DENIA;208;121,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;304;156,3;194513
DEPARTAMENT DE SALUT D'ALCOI;470;342,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;693;374;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;571;256,3;222767
DEPARTAMENT DE SALUT D'ELDA;547;288,5;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;702;252,4;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;386;228;169314
DEPARTAMENT DE SALUT D'ORIHUELA;163;96,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;383;205,9;186025
DEPARTAMENT DE SALUT DE MANISES;497;239,8;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;186;118,8;156506
