Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;219;241,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;866;306;283021
DEPARTAMENT DE SALUT DE LA PLANA;879;469,4;187258
DEPARTAMENT DE SALUT DE SAGUNT;541;353,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1096;317;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;834;260,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;981;340;288530
DEPARTAMENT DE SALUT DE REQUENA;456;885,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1155;317,3;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;831;297,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;557;214,4;259746
DEPARTAMENT DE SALUT DE GANDIA;260;146,3;177754
DEPARTAMENT DE SALUT DE DENIA;237;138;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;343;176,3;194513
DEPARTAMENT DE SALUT D'ALCOI;507;369,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;767;413,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;720;323,2;222767
DEPARTAMENT DE SALUT D'ELDA;654;344,9;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;890;320;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;457;269,9;169314
DEPARTAMENT DE SALUT D'ORIHUELA;194;115,4;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;464;249,4;186025
DEPARTAMENT DE SALUT DE MANISES;546;263,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;221;141,2;156506
