Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;23;25,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;51;18;283021
DEPARTAMENT DE SALUT DE LA PLANA;77;41,1;187258
DEPARTAMENT DE SALUT DE SAGUNT;26;17;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;68;19,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;37;11,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;72;25;288530
DEPARTAMENT DE SALUT DE REQUENA;54;104,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;106;29,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;61;21,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;25;9,6;259746
DEPARTAMENT DE SALUT DE GANDIA;23;12,9;177754
DEPARTAMENT DE SALUT DE DENIA;17;9,9;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;33;17;194513
DEPARTAMENT DE SALUT D'ALCOI;106;77,3;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;94;50,7;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;25;11,2;222767
DEPARTAMENT DE SALUT D'ELDA;45;23,7;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;54;19,4;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;10;5,9;169314
DEPARTAMENT DE SALUT D'ORIHUELA;13;7,7;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;43;23,1;186025
DEPARTAMENT DE SALUT DE MANISES;42;20,3;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;7;4,5;156506
