Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;171;188,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;490;173,1;283021
DEPARTAMENT DE SALUT DE LA PLANA;624;333,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;332;217;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;668;193,2;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;665;208;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;798;276,6;288530
DEPARTAMENT DE SALUT DE REQUENA;402;780,7;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;863;237,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;669;239,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;397;152,8;259746
DEPARTAMENT DE SALUT DE GANDIA;220;123,8;177754
DEPARTAMENT DE SALUT DE DENIA;197;114,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;241;123,9;194513
DEPARTAMENT DE SALUT D'ALCOI;386;281,6;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;652;351,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;453;203,4;222767
DEPARTAMENT DE SALUT D'ELDA;451;237,9;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;581;208,9;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;288;170,1;169314
DEPARTAMENT DE SALUT D'ORIHUELA;125;74,3;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;359;193;186025
DEPARTAMENT DE SALUT DE MANISES;401;193,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;138;88,2;156506
