Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;128;140,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;414;146,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;548;292,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;284;185,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;617;178,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;613;191,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;713;247,1;288530
DEPARTAMENT DE SALUT DE REQUENA;364;706,9;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;774;212,6;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;590;211;279561
DEPARTAMENT DE SALUT DE LA RIBERA;375;144,4;259746
DEPARTAMENT DE SALUT DE GANDIA;190;106,9;177754
DEPARTAMENT DE SALUT DE DENIA;190;110,6;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;219;112,6;194513
DEPARTAMENT DE SALUT D'ALCOI;366;267,1;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;621;335,1;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;422;189,4;222767
DEPARTAMENT DE SALUT D'ELDA;410;216,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;547;196,7;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;253;149,4;169314
DEPARTAMENT DE SALUT D'ORIHUELA;111;66;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;340;182,8;186025
DEPARTAMENT DE SALUT DE MANISES;337;162,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;130;83,1;156506
