Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;23;25,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;51;18;283021
DEPARTAMENT DE SALUT DE LA PLANA;77;41,1;187258
DEPARTAMENT DE SALUT DE SAGUNT;27;17,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;68;19,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;39;12,2;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;75;26;288530
DEPARTAMENT DE SALUT DE REQUENA;55;106,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;107;29,4;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;61;21,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;26;10;259746
DEPARTAMENT DE SALUT DE GANDIA;23;12,9;177754
DEPARTAMENT DE SALUT DE DENIA;17;9,9;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;33;17;194513
DEPARTAMENT DE SALUT D'ALCOI;107;78,1;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;96;51,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;26;11,7;222767
DEPARTAMENT DE SALUT D'ELDA;47;24,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;55;19,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;11;6,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;14;8,3;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;44;23,7;186025
DEPARTAMENT DE SALUT DE MANISES;43;20,8;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;7;4,5;156506

