Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;186;204,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;668;236;283021
DEPARTAMENT DE SALUT DE LA PLANA;722;385,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;407;266,7;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;853;246,7;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;710;222;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;875;303,3;288530
DEPARTAMENT DE SALUT DE REQUENA;418;811,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;969;266,2;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;717;256,5;279561
DEPARTAMENT DE SALUT DE LA RIBERA;440;169,4;259746
DEPARTAMENT DE SALUT DE GANDIA;237;133,3;177754
DEPARTAMENT DE SALUT DE DENIA;204;118,2;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;289;148,6;194513
DEPARTAMENT DE SALUT D'ALCOI;444;324;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;691;372,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;530;237,9;222767
DEPARTAMENT DE SALUT D'ELDA;503;265,3;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;653;234,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;352;207,9;169314
DEPARTAMENT DE SALUT D'ORIHUELA;153;91;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;379;203,7;186025
DEPARTAMENT DE SALUT DE MANISES;482;232,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;176;112,5;156506
