Departamento de Salud;Identificador departamento;Habitantes del Departamento de Salud en 2019;Casos PCR+;Tasa PCR+;Casos PCR+ 14 dias;Tasa PCR+14;Casos fallecidos;Tasa fallecidos
DEPARTAMENT DE SALUT DE VINAROS;1;90816;153;16,85;8;0,88;30;3,3
DEPARTAMENT DE SALUT DE CASTELLO;2;283021;599;21,16;23;0,81;75;2,65
DEPARTAMENT DE SALUT DE LA PLANA;3;187258;689;36,79;16;0,85;94;5,02
DEPARTAMENT DE SALUT DE SAGUNT;4;152999;327;21,37;3;0,2;40;2,61
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;5;345762;690;19,96;23;0,67;86;2,49
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;6;319787;686;21,45;8;0,25;55;1,72
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;7;288530;770;26,69;20;0,69;92;3,19
DEPARTAMENT DE SALUT DE REQUENA;8;51489;419;81,38;17;3,3;76;14,76
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;9;364017;939;25,8;19;0,52;129;3,54
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;10;279561;606;21,68;15;0,54;71;2,54
DEPARTAMENT DE SALUT DE LA RIBERA;11;259746;486;18,71;27;1,04;32;1,23
DEPARTAMENT DE SALUT DE GANDIA;12;177754;193;10,86;2;0,11;28;1,58
DEPARTAMENT DE SALUT DE DENIA;13;171741;197;11,47;6;0,35;19;1,11
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;14;194513;247;12,7;6;0,31;39;2,01
DEPARTAMENT DE SALUT D'ALCOI;15;137051;384;28,02;10;0,73;115;8,39
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;16;185316;698;37,67;10;0,54;107;5,77
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;17;222767;487;21,86;11;0,49;43;1,93
DEPARTAMENT DE SALUT D'ELDA;18;189600;469;24,74;10;0,53;54;2,85
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;19;278095;638;22,94;16;0,58;63;2,27
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;20;169314;363;21,44;17;1;12;0,71
DEPARTAMENT DE SALUT D'ORIHUELA;21;168148;127;7,55;2;0,12;21;1,25
DEPARTAMENT DE SALUT DE TORREVIEJA;22;186025;379;20,37;7;0,38;57;3,06
DEPARTAMENT DE SALUT DE MANISES;23;207215;428;20,65;6;0,29;70;3,38
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;24;156506;156;9,97;1;0,06;10;0,64
