Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;201;221,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;778;274,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;817;436,3;187258
DEPARTAMENT DE SALUT DE SAGUNT;502;328,1;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;968;280;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;771;241,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;921;319,2;288530
DEPARTAMENT DE SALUT DE REQUENA;435;844,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1090;299,4;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;764;273,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;469;180,6;259746
DEPARTAMENT DE SALUT DE GANDIA;244;137,3;177754
DEPARTAMENT DE SALUT DE DENIA;221;128,7;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;312;160,4;194513
DEPARTAMENT DE SALUT D'ALCOI;483;352,4;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;695;375;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;608;272,9;222767
DEPARTAMENT DE SALUT D'ELDA;575;303,3;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;746;268,3;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;417;246,3;169314
DEPARTAMENT DE SALUT D'ORIHUELA;176;104,7;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;403;216,6;186025
DEPARTAMENT DE SALUT DE MANISES;512;247,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;197;125,9;156506
