Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;236;259,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;927;327,5;283021
DEPARTAMENT DE SALUT DE LA PLANA;928;495,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;560;366;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1181;341,6;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;888;277,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;1023;354,6;288530
DEPARTAMENT DE SALUT DE REQUENA;483;938,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1226;336,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;916;327,7;279561
DEPARTAMENT DE SALUT DE LA RIBERA;592;227,9;259746
DEPARTAMENT DE SALUT DE GANDIA;271;152,5;177754
DEPARTAMENT DE SALUT DE DENIA;257;149,6;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;366;188,2;194513
DEPARTAMENT DE SALUT D'ALCOI;546;398,4;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;838;452,2;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;749;336,2;222767
DEPARTAMENT DE SALUT D'ELDA;681;359,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;940;338;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;480;283,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;213;126,7;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;495;266,1;186025
DEPARTAMENT DE SALUT DE MANISES;567;273,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;232;148,2;156506
