Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,7;46
g10-19;Hombre;0,9;53
g20-29;Hombre;4,7;290
g30-39;Hombre;9,9;613
g40-49;Hombre;14,8;914
g50-59;Hombre;17,6;1084
g60-69;Hombre;18,2;1124
g70-79;Hombre;17;1051
g80-89;Hombre;12,6;776
g90 o más;Hombre;3,5;215
g0-9;Mujer;0,5;38
g10-19;Mujer;0,9;68
g20-29;Mujer;7,2;554
g30-39;Mujer;11,6;894
g40-49;Mujer;15,7;1208
g50-59;Mujer;18,2;1401
g60-69;Mujer;13,4;1034
g70-79;Mujer;11,2;867
g80-89;Mujer;14,1;1085
g90 o más;Mujer;7,3;561
