Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;219;241,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;860;303,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;861;459,8;187258
DEPARTAMENT DE SALUT DE SAGUNT;541;353,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1082;312,9;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;827;258,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;974;337,6;288530
DEPARTAMENT DE SALUT DE REQUENA;453;879,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1152;316,5;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;820;293,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;553;212,9;259746
DEPARTAMENT DE SALUT DE GANDIA;259;145,7;177754
DEPARTAMENT DE SALUT DE DENIA;236;137,4;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;338;173,8;194513
DEPARTAMENT DE SALUT D'ALCOI;507;369,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;754;406,9;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;716;321,4;222767
DEPARTAMENT DE SALUT D'ELDA;640;337,6;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;881;316,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;449;265,2;169314
DEPARTAMENT DE SALUT D'ORIHUELA;191;113,6;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;458;246,2;186025
DEPARTAMENT DE SALUT DE MANISES;541;261,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;218;139,3;156506
