Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;14;15,4;90816
DEPARTAMENT DE SALUT DE CASTELLO;27;9,5;283021
DEPARTAMENT DE SALUT DE LA PLANA;58;31;187258
DEPARTAMENT DE SALUT DE SAGUNT;24;15,7;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;59;17,1;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;29;9,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;40;13,9;288530
DEPARTAMENT DE SALUT DE REQUENA;30;58,3;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;84;23,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;46;16,5;279561
DEPARTAMENT DE SALUT DE LA RIBERA;16;6,2;259746
DEPARTAMENT DE SALUT DE GANDIA;16;9;177754
DEPARTAMENT DE SALUT DE DENIA;16;9,3;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;25;12,9;194513
DEPARTAMENT DE SALUT D'ALCOI;93;67,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;73;39,4;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;16;7,2;222767
DEPARTAMENT DE SALUT D'ELDA;36;19;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;40;14,4;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;6;3,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;8;4,8;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;34;18,3;186025
DEPARTAMENT DE SALUT DE MANISES;23;11,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;5;3,2;156506
