Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,8;54
g10-19;Hombre;1;66
g20-29;Hombre;5;329
g30-39;Hombre;10,2;668
g40-49;Hombre;15,3;1000
g50-59;Hombre;17,5;1142
g60-69;Hombre;17,9;1171
g70-79;Hombre;16,6;1081
g80-89;Hombre;12,2;799
g90 o más;Hombre;3,4;220
g0-9;Mujer;0,5;44
g10-19;Mujer;1;78
g20-29;Mujer;7,3;601
g30-39;Mujer;11,9;978
g40-49;Mujer;15,8;1294
g50-59;Mujer;18,4;1504
g60-69;Mujer;13,3;1093
g70-79;Mujer;11;902
g80-89;Mujer;13,7;1120
g90 o más;Mujer;7;576
