Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;219;241,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;866;306;283021
DEPARTAMENT DE SALUT DE LA PLANA;879;469,4;187258
DEPARTAMENT DE SALUT DE SAGUNT;541;353,6;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1097;317,3;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;834;260,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;992;343,8;288530
DEPARTAMENT DE SALUT DE REQUENA;457;887,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1165;320;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;836;299;279561
DEPARTAMENT DE SALUT DE LA RIBERA;558;214,8;259746
DEPARTAMENT DE SALUT DE GANDIA;260;146,3;177754
DEPARTAMENT DE SALUT DE DENIA;238;138,6;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;343;176,3;194513
DEPARTAMENT DE SALUT D'ALCOI;508;370,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;768;414,4;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;723;324,6;222767
DEPARTAMENT DE SALUT D'ELDA;656;346;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;892;320,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;458;270,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;195;116;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;467;251;186025
DEPARTAMENT DE SALUT DE MANISES;546;263,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;221;141,2;156506
