Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;194;213,6;90816
DEPARTAMENT DE SALUT DE CASTELLO;697;246,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;739;394,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;438;286,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;889;257,1;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;739;231,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;901;312,3;288530
DEPARTAMENT DE SALUT DE REQUENA;424;823,5;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;993;272,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;734;262,6;279561
DEPARTAMENT DE SALUT DE LA RIBERA;447;172,1;259746
DEPARTAMENT DE SALUT DE GANDIA;239;134,5;177754
DEPARTAMENT DE SALUT DE DENIA;208;121,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;304;156,3;194513
DEPARTAMENT DE SALUT D'ALCOI;470;342,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;693;374;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;571;256,3;222767
DEPARTAMENT DE SALUT D'ELDA;544;286,9;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;687;247;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;379;223,8;169314
DEPARTAMENT DE SALUT D'ORIHUELA;163;96,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;382;205,3;186025
DEPARTAMENT DE SALUT DE MANISES;495;238,9;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;184;117,6;156506
