Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;219;241,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;870;307,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;882;471;187258
DEPARTAMENT DE SALUT DE SAGUNT;543;354,9;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1117;323,1;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;840;262,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;996;345,2;288530
DEPARTAMENT DE SALUT DE REQUENA;457;887,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1167;320,6;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;840;300,5;279561
DEPARTAMENT DE SALUT DE LA RIBERA;565;217,5;259746
DEPARTAMENT DE SALUT DE GANDIA;260;146,3;177754
DEPARTAMENT DE SALUT DE DENIA;238;138,6;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;344;176,9;194513
DEPARTAMENT DE SALUT D'ALCOI;511;372,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;769;415;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;725;325,5;222767
DEPARTAMENT DE SALUT D'ELDA;659;347,6;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;893;321,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;463;273,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;196;116,6;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;469;252,1;186025
DEPARTAMENT DE SALUT DE MANISES;547;264;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;221;141,2;156506
