Grupo de edad;Sexo;Porcentaje;Casos acumulados desde el 31-01-2020
g0-9;Hombre;0,8;55
g10-19;Hombre;1;66
g20-29;Hombre;5;330
g30-39;Hombre;10,3;674
g40-49;Hombre;15,3;1007
g50-59;Hombre;17,5;1149
g60-69;Hombre;17,9;1176
g70-79;Hombre;16,5;1086
g80-89;Hombre;12,2;799
g90 o más;Hombre;3,4;220
g0-9;Mujer;0,5;45
g10-19;Mujer;1;80
g20-29;Mujer;7,3;603
g30-39;Mujer;12;987
g40-49;Mujer;15,8;1301
g50-59;Mujer;18,3;1510
g60-69;Mujer;13,4;1099
g70-79;Mujer;11;905
g80-89;Mujer;13,6;1123
g90 o más;Mujer;7;577
