Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;173;190,5;90816
DEPARTAMENT DE SALUT DE CASTELLO;513;181,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;634;338,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;347;226,8;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;707;204,5;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;680;212,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;835;289,4;288530
DEPARTAMENT DE SALUT DE REQUENA;405;786,6;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;880;241,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;686;245,4;279561
DEPARTAMENT DE SALUT DE LA RIBERA;415;159,8;259746
DEPARTAMENT DE SALUT DE GANDIA;230;129,4;177754
DEPARTAMENT DE SALUT DE DENIA;196;114,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;248;127,5;194513
DEPARTAMENT DE SALUT D'ALCOI;396;288,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;663;357,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;466;209,2;222767
DEPARTAMENT DE SALUT D'ELDA;462;243,7;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;583;209,6;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;307;181,3;169314
DEPARTAMENT DE SALUT D'ORIHUELA;131;77,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;366;196,7;186025
DEPARTAMENT DE SALUT DE MANISES;439;211,9;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;144;92;156506

